State,Year,Cancer_Type,Age_Group,Gender,Population,People_Screened,Smoking_Percent,Pollution_Index,New_Cases,Deaths,Recovered,Incidence_per_100k,Mortality_per_100k,Avg_Treatment_Cost_INR,Available_Hospital_Beds
Madhya Pradesh,2011,Liver,15-29,Female,2652628,,26.61,133.8,47,16,18,1.772,0.603,57676,1276
Assam,2010,Breast,45-59,Female,736711,38655,21.93,,12,3,5,1.629,0.407,,686
Uttar Pradesh,2013,Lung,30-44,Female,2373416,82386,,109.9,45,28,27,1.896,1.18,403467,1527
West Bengal,2016,Cervical,75+,Female,6098427,67393,18.04,282.4,101,23,53,1.656,0.377,156253,4578
West Bengal,2013,Cervical,45-59,Female,7963698,120392,30.86,193.1,136,55,61,1.708,0.691,136089,4232
Maharashtra,2022,Leukemia,15-29,Female,2072295,165467,34.17,29.5,37,19,22,1.785,0.917,169955,2702
Assam,2015,Prostate,60-74,Female,4653344,58374,11.3,50.5,83,32,55,1.784,0.688,,3964
Assam,2024,Prostate,60-74,Female,6473997,71777,40.45,139,119,52,,1.838,0.803,216562,3474
Jharkhand,2013,Colorectal,60-74,Female,2713158,2603,12.46,52.5,45,14,,1.659,0.516,301725,
Kerala,2024,Leukemia,15-29,Female,3914212,115782,44.8,255.8,54,18,17,1.38,0.46,140570,681
Bihar,2017,Breast,75+,Male,4573367,,26.16,171.7,73,42,42,1.596,0.918,240037,194
Rajasthan,2013,Prostate,60-74,Male,6749081,98221,10.97,116.1,119,26,64,1.763,0.385,191776,441
West Bengal,2025,Leukemia,0-14,Male,3593014,46268,44.16,213.6,60,33,20,1.67,0.918,497528,
Chhattisgarh,2016,Stomach,15-29,Female,5650682,141893,16.78,,112,58,33,1.982,1.026,82744,
Odisha,2024,Ovarian,45-59,Female,4132761,,14.34,72.8,72,20,41,1.742,0.484,129560,
Odisha,2010,Colorectal,15-29,Female,2195020,149893,11.31,246.8,35,20,22,1.595,0.911,389831,1857
Rajasthan,2015,Prostate,75+,Male,3966940,163777,28.94,101.3,72,35,36,1.815,0.882,294362,78
Karnataka,2023,Leukemia,30-44,Male,1919478,,35.44,77.8,38,13,20,1.98,0.677,310681,526
Rajasthan,2022,Colorectal,45-59,Female,1798493,66126,8.19,106.3,35,7,23,1.946,0.389,302731,3221
Karnataka,2023,Stomach,15-29,Male,2556512,13291,32.89,223.8,57,27,20,2.23,1.056,67629,1931
Tamil Nadu,2014,Lung,45-59,Male,1057399,86055,30.7,51.3,16,5,8,1.513,0.473,131167,2177
Maharashtra,2015,Ovarian,75+,Female,2195242,145899,11.02,240.6,37,14,25,1.685,0.638,461930,2263
Chhattisgarh,2024,Oral,15-29,Female,2329155,89158,,173.7,34,,21,1.46,0.773,175177,2011
Tamil Nadu,2016,Leukemia,30-44,Female,3876000,,27.62,51.8,64,31,,1.651,0.8,,56
Uttar Pradesh,2014,Prostate,75+,Female,3270356,175829,33.92,,49,25,20,1.498,0.764,256237,1689
Himachal Pradesh,2020,Liver,60-74,Female,5396498,33521,26.86,274,91,27,57,,0.5,,219
Haryana,2019,Colorectal,30-44,Male,5120677,18753,18.92,223.9,98,40,40,1.914,0.781,59872,3145
Telangana,2016,Stomach,0-14,Female,4030931,177748,32.13,165,62,37,37,1.538,0.918,240396,3797
Odisha,2021,Colorectal,60-74,Male,1996439,172880,7.75,228.9,33,18,15,1.653,0.902,150500,
Himachal Pradesh,2010,Leukemia,15-29,Male,2021295,64994,7.64,,28,8,19,1.385,0.396,70628,2191
Gujarat,2019,Cervical,45-59,Female,7864226,40770,26.72,57.5,117,40,73,1.488,0.509,449498,4968
Delhi,2011,Prostate,75+,Male,5400979,175740,6.44,220.5,101,48,59,1.87,0.889,21928,2551
Assam,2016,Colorectal,15-29,Female,5197276,180454,27.09,285.5,74,28,28,1.424,0.539,238286,4464
Bihar,2010,Liver,45-59,Male,551572,192764,8.36,222.2,5,1,2,0.906,0.181,66511,3254
Jharkhand,2024,Stomach,0-14,Female,7555796,34557,25.11,126.4,138,68,71,1.826,0.9,115610,4170
Bihar,2011,Lung,30-44,Male,6892375,95062,12.93,32.6,122,78,57,1.77,1.132,198663,921
Madhya Pradesh,2012,Breast,0-14,Female,1331009,68941,32.69,84.5,30,17,,,1.277,313515,322
Andhra Pradesh,2024,Breast,0-14,Male,1059509,132977,39.73,91,15,5,9,1.416,0.472,41216,2168
Jharkhand,2017,Liver,30-44,Male,6683429,199749,6.71,279.9,112,66,51,1.676,0.988,299588,3031
Delhi,2018,Colorectal,45-59,Male,7018989,2683,6.01,133,126,40,57,,0.57,493030,2650
Odisha,2016,Leukemia,60-74,Female,6923607,182197,8.65,152.5,109,43,43,1.574,,295142,4472
Bihar,2023,Breast,75+,Female,4638906,28765,26.94,272.6,82,40,36,1.768,,80689,1876
Himachal Pradesh,2021,Colorectal,45-59,Female,2924854,150075,40.94,144.8,49,28,19,1.675,0.957,185259,1868
Gujarat,2018,Breast,45-59,Male,5035590,13434,16.23,187.9,84,43,35,1.668,0.854,171930,4284
Odisha,2023,Oral,30-44,Female,4789037,152140,35.39,270.8,76,40,40,1.587,0.835,50892,2580
Tamil Nadu,2020,Ovarian,15-29,Female,4364567,91791,32.26,254.2,58,25,39,1.329,0.573,244271,3982
Maharashtra,2021,Colorectal,30-44,Male,1089063,98808,42.51,273.3,19,5,7,1.745,,275114,4653
Maharashtra,2011,Breast,15-29,Female,1184169,46182,24.93,291.2,15,8,9,1.267,0.676,426667,3521
Bihar,2018,Stomach,0-14,Female,3397587,28560,6.52,63.9,71,45,48,2.09,1.324,443555,1375
Rajasthan,2024,Cervical,60-74,Female,5192564,147105,,31.4,102,,63,1.964,1.136,140245,847
Gujarat,2023,Breast,75+,Female,4546821,19396,41.68,,79,,35,1.737,0.946,449696,2179
Delhi,2010,Liver,75+,Male,7957939,133715,,205.5,151,46,58,1.897,0.578,257944,3900
Kerala,2024,Liver,15-29,Male,1405193,137631,41.37,241.8,29,,,2.064,0.498,462496,
Assam,2012,Colorectal,75+,Male,1335190,126170,5.96,58.3,16,4,7,1.198,0.3,,
Kerala,2010,Leukemia,45-59,Male,7014096,75531,10.65,,108,31,67,1.54,0.442,319084,1967
Haryana,2010,Oral,0-14,Female,5800318,140525,10.88,199.2,87,29,56,1.5,0.5,47545,4836
Haryana,2016,Prostate,30-44,Male,1614988,134283,5.87,273.9,26,8,13,,,448340,
Haryana,2012,Breast,0-14,Male,3673611,157184,24.31,270.8,53,,31,1.443,0.708,215152,2618
Telangana,2018,Oral,45-59,Male,7779478,182667,7.47,66,139,51,64,1.787,0.656,244457,1122
Tamil Nadu,2015,Liver,30-44,Male,2016162,162704,22.13,123.9,33,17,10,1.637,0.843,467202,4714
Gujarat,2022,Cervical,60-74,Male,3986284,116706,13.09,248.3,66,37,24,1.656,0.928,123285,4915
Karnataka,2021,Lung,0-14,Female,6054801,,44.84,100.4,103,32,63,,,423855,
Haryana,2011,Leukemia,60-74,Female,4071213,141357,7.55,,67,22,21,1.646,0.54,465944,4267
Assam,2015,Lung,15-29,Male,3448384,159599,16.41,224.7,53,20,,1.537,0.58,333591,4913
Odisha,2013,Oral,15-29,Male,6333824,132106,32.11,287.6,108,46,55,1.705,0.726,361547,4913
Andhra Pradesh,2013,Leukemia,60-74,Male,5479257,40972,,289.4,97,26,36,1.77,0.475,472882,4765
Odisha,2023,Oral,60-74,Male,1719174,132065,8.55,189.3,34,15,15,1.978,0.873,424729,4816
Madhya Pradesh,2019,Breast,45-59,Male,4812495,115877,5.83,55.5,80,35,44,1.662,0.727,109055,869
Andhra Pradesh,2013,Ovarian,0-14,Female,1214298,21090,13.97,292.1,27,11,8,2.224,,64005,1519
Delhi,2021,Liver,0-14,Female,7822465,57603,43.61,149.8,121,46,75,1.547,0.588,446047,204
Haryana,2014,Prostate,15-29,Female,1172860,38273,32.74,119.1,16,4,,1.364,0.341,,2974
Assam,2019,Prostate,45-59,Male,2977974,111375,40.36,128.1,53,,32,1.78,,298634,4660
Bihar,2017,Cervical,15-29,Female,4601497,164597,16.61,,91,34,37,1.978,0.739,372502,507
Karnataka,2013,Breast,15-29,Female,7883632,98136,20.3,28.9,127,76,66,1.611,0.964,,2046
Madhya Pradesh,2025,Leukemia,75+,Female,2173712,97339,11.79,106.7,30,,20,1.38,0.69,411919,310
Maharashtra,2012,Breast,75+,Male,5884555,10568,,,105,61,67,1.784,1.037,360336,3597
Himachal Pradesh,2024,Lung,45-59,Female,3920032,1964,13.56,234.8,60,17,19,1.531,0.434,128520,336
Assam,2025,Leukemia,45-59,Female,2031194,,33.43,141.5,35,7,,1.723,0.345,498124,2486
Bihar,2016,Cervical,0-14,Male,1331122,7089,19.41,152.2,19,8,9,1.427,0.601,387336,2305
Punjab,2024,Prostate,30-44,Male,4501303,131971,32.13,139.1,59,21,31,1.311,0.467,47987,4611
West Bengal,2020,Colorectal,15-29,Female,5418673,111921,32.18,123.3,91,39,56,1.679,0.72,399750,3278
Delhi,2022,Ovarian,75+,Female,3872857,172712,18.86,56.7,82,35,,2.117,0.904,316483,3233
Maharashtra,2019,Prostate,45-59,Male,2304684,93713,19.86,129.3,37,22,,1.605,0.955,344979,1028
Kerala,2010,Stomach,0-14,Female,4073856,169801,,251.8,73,25,,,0.614,71559,4899
Chhattisgarh,2018,Colorectal,45-59,Female,767227,40283,16.34,188.9,15,4,8,1.955,0.521,72093,137
Punjab,2011,Stomach,45-59,Female,2759728,85780,32.12,145.4,57,14,22,2.065,0.507,256948,4195
Jharkhand,2011,Lung,75+,Female,2492394,,43.94,202.3,39,,23,1.565,,142902,4644
Tamil Nadu,2011,Liver,30-44,Male,4157219,72202,36.48,134.8,60,27,35,1.443,0.649,160358,
Kerala,2017,Stomach,60-74,Female,7039779,90742,,80.2,110,64,66,1.563,0.909,174181,2597
West Bengal,2013,Leukemia,75+,Male,6117724,45059,27.78,,79,38,52,1.291,0.621,364539,3182
Himachal Pradesh,2010,Leukemia,30-44,Male,1574333,188373,42.63,215.8,29,8,11,1.842,0.508,399972,
Kerala,2022,Stomach,75+,Male,3193632,24158,43.23,,42,13,20,1.315,0.407,229748,4396
Tamil Nadu,2018,Liver,45-59,Male,7757572,159918,9.88,,117,68,37,1.508,0.877,267588,344
Gujarat,2020,Liver,15-29,Male,7675516,126770,32.33,54,124,43,64,1.616,0.56,44284,2578
Maharashtra,2017,Cervical,15-29,Female,1983516,15512,,,27,10,17,1.361,0.504,151829,4720
Assam,2019,Prostate,15-29,Male,7757264,113294,30.66,267.1,125,63,43,1.611,0.812,101489,4877
Odisha,2017,Stomach,0-14,Male,7948783,,,179.8,141,71,73,1.774,,484318,1007
Jharkhand,2016,Oral,75+,Female,527499,148514,,,8,3,5,1.517,,474022,3912
Telangana,2018,Cervical,45-59,Male,1427759,139984,18.42,80.2,18,4,12,1.261,0.28,249216,
Chhattisgarh,2025,Colorectal,15-29,Female,4258718,25680,38.29,86.7,73,41,38,1.714,0.963,410077,1655
Karnataka,2010,Leukemia,15-29,Male,1543999,137939,28.7,119.7,31,12,12,2.008,0.777,406728,4748
Punjab,2011,Prostate,45-59,Male,2141928,125599,5.62,272.3,42,14,14,1.961,,97393,2103
Odisha,2019,Breast,60-74,Female,7740694,152080,38.28,36.8,120,58,51,1.55,0.749,480218,2507
Bihar,2022,Oral,75+,Female,3795135,115421,22.58,201.8,62,17,40,1.634,,421550,3484
Jharkhand,2022,Lung,75+,Female,3770968,104644,34.91,35.6,57,31,27,1.512,0.822,158839,1679
Odisha,2014,Stomach,45-59,Male,3198645,173423,30.99,131.1,54,34,23,1.688,1.063,,4976
Madhya Pradesh,2016,Liver,30-44,Female,3700632,174677,23.21,168.7,53,11,17,1.432,,284036,4726
Chhattisgarh,2011,Breast,30-44,Female,2632272,23222,34.52,98.8,41,9,23,1.558,0.342,173490,4429
Delhi,2019,Ovarian,45-59,Female,4213707,92580,31.52,184.6,77,44,32,1.827,1.044,125765,102
Delhi,2015,Colorectal,30-44,Male,4849667,118027,8.3,72.1,86,17,59,1.773,0.351,128869,3803
West Bengal,2013,Stomach,45-59,Male,2206405,15503,23.7,259.2,48,11,22,,,110703,1559
Himachal Pradesh,2018,Colorectal,30-44,Female,4629064,75702,14.69,95.2,81,52,49,,1.123,419951,1744
Uttar Pradesh,2015,Prostate,30-44,Male,7948261,24932,44.01,267,129,42,41,1.623,0.528,,2821
Tamil Nadu,2022,Lung,75+,Female,6501623,115377,15.24,71.2,116,40,,1.784,0.615,324970,74
Jharkhand,2012,Leukemia,30-44,Male,6927558,172705,12.93,232.4,118,,69,1.703,0.996,386144,3651
Madhya Pradesh,2015,Breast,75+,Female,4672098,49023,5.19,34.4,99,22,34,2.119,,61650,3334
Madhya Pradesh,2012,Ovarian,0-14,Female,5557419,54879,,115,89,44,60,1.601,0.792,414456,3446
Uttar Pradesh,2012,Stomach,45-59,Female,7069046,31659,,,124,31,60,1.754,,92910,4887
Gujarat,2013,Lung,0-14,Male,2219032,,,82.3,39,23,13,1.758,1.036,,350
West Bengal,2012,Leukemia,75+,Female,5453663,35017,7.73,121,83,39,43,1.522,,,1458
Punjab,2020,Lung,60-74,Female,5151531,145399,40.46,295.7,80,29,43,1.553,0.563,,4032
West Bengal,2018,Oral,30-44,Female,7471007,132464,32.39,,115,,,1.539,0.937,,3986
Madhya Pradesh,2013,Ovarian,75+,Male,7254546,171120,,209,130,27,59,1.792,0.372,80910,1061
Madhya Pradesh,2020,Leukemia,15-29,Male,7513088,19064,28.83,,126,71,62,1.677,0.945,449152,
Uttar Pradesh,2025,Cervical,15-29,Male,6357533,45479,29.66,220.5,96,57,54,1.51,0.897,233140,2054
Assam,2018,Oral,60-74,Female,1365808,18281,16.33,66.2,18,,10,1.318,0.439,239856,2406
West Bengal,2022,Ovarian,60-74,Female,6172760,192757,28.68,110.1,93,28,31,,0.454,357936,4544
Chhattisgarh,2018,Stomach,30-44,Male,2984151,197905,17.97,233.3,56,35,17,1.877,1.173,126246,1874
Odisha,2022,Liver,60-74,Male,5929724,113468,7.46,67,101,,69,1.703,0.557,425122,368
Bihar,2012,Colorectal,75+,Male,2567462,,40.14,78.9,29,,,1.13,0.428,146967,1569
Odisha,2015,Cervical,45-59,Male,4869072,187062,7.17,80.8,87,17,29,1.787,0.349,258718,1762
Odisha,2021,Stomach,60-74,Male,3005640,109882,21.51,25.1,35,9,14,1.164,0.299,,3001
Chhattisgarh,2017,Cervical,30-44,Male,743146,135581,7.92,219.6,17,10,9,2.288,,480160,83
Uttar Pradesh,2010,Prostate,45-59,Male,1927871,144577,40.29,233.6,39,20,24,2.023,1.037,309317,
Punjab,2023,Stomach,0-14,Male,3371356,193363,19.34,190.8,66,34,37,1.958,1.008,131325,
Uttar Pradesh,2013,Ovarian,30-44,Female,5857902,,20.74,118.2,89,24,,1.519,0.41,380992,2047
Assam,2020,Lung,0-14,Male,4069605,26734,10.26,75.4,68,23,31,1.671,0.565,367383,397
Bihar,2020,Leukemia,60-74,Female,2186695,54049,41.25,215.2,37,10,24,1.692,0.457,478175,4941
Andhra Pradesh,2025,Leukemia,60-74,Male,7551979,173810,36.49,285.8,135,77,86,1.788,1.02,59389,3305
Punjab,2020,Oral,0-14,Female,2840685,140551,36.48,204.2,55,14,32,1.936,0.493,39601,
Uttar Pradesh,2013,Cervical,30-44,Male,726415,71694,40.43,222.7,8,4,5,1.101,0.551,112048,
West Bengal,2010,Oral,75+,Female,6065529,106589,23.1,90.9,97,49,31,1.599,0.808,60016,3591
Punjab,2023,Breast,45-59,Female,1040446,124546,,105.2,13,5,7,,0.481,401100,2558
Punjab,2019,Cervical,30-44,Male,3888259,183746,11.96,,76,46,44,1.955,1.183,158245,3639
Kerala,2019,Leukemia,45-59,Female,4680674,84187,6.65,198.6,89,54,,1.901,1.154,220899,3727
Maharashtra,2013,Ovarian,30-44,Male,3014813,,21.62,61.2,50,17,17,1.658,0.564,206582,985
Chhattisgarh,2022,Prostate,75+,Male,4657218,141696,22.52,222.6,78,49,30,1.675,1.052,267001,1781
Andhra Pradesh,2024,Stomach,60-74,Male,6630221,135558,22.85,138,114,50,67,1.719,0.754,424634,4705
Tamil Nadu,2015,Colorectal,60-74,Male,6416879,,32.34,195.8,117,52,64,1.823,0.81,467328,2482
Odisha,2023,Prostate,60-74,Female,2823276,120478,21.29,247.7,40,20,27,1.417,0.708,262070,4661
Karnataka,2021,Prostate,15-29,Female,7612864,177807,,228,136,32,76,1.786,0.42,,
Jharkhand,2010,Stomach,45-59,Male,1016692,,25.35,182.9,17,4,8,1.672,0.393,376281,2847
Karnataka,2010,Breast,15-29,Female,4996862,181704,19.7,45.2,96,,61,1.921,0.66,492575,3744
Maharashtra,2015,Prostate,60-74,Male,1297272,20058,35.61,196.9,15,8,8,1.156,0.617,68321,2604
Maharashtra,2025,Leukemia,15-29,Female,2787650,145020,,227.5,42,17,,1.507,0.61,103069,1223
Kerala,2012,Oral,0-14,Female,6402416,6371,40.14,65.3,101,53,53,,,296242,3024
Madhya Pradesh,2023,Lung,30-44,Female,6904221,53076,29.04,40.1,97,,40,1.405,0.536,135364,
Rajasthan,2020,Colorectal,60-74,Female,5053186,10770,38.23,145.2,87,,43,1.722,,213548,1481
Delhi,2016,Prostate,45-59,Male,7296323,,26.84,250.5,105,63,68,1.439,0.863,29613,
Punjab,2017,Stomach,30-44,Female,5003125,82145,33.51,236.7,79,46,,1.579,0.919,,2780
Jharkhand,2016,Cervical,30-44,Female,7991834,160830,25.32,149.3,130,35,50,1.627,0.438,160606,3866
Chhattisgarh,2025,Cervical,75+,Female,2299294,135924,27.1,57.5,44,26,29,1.914,,151939,
Chhattisgarh,2023,Leukemia,15-29,Male,799890,183794,37.81,281.7,10,4,3,1.25,0.5,440890,3658
Tamil Nadu,2011,Ovarian,75+,Male,6842411,171267,29.07,283.9,106,22,69,1.549,0.322,97065,3652
Karnataka,2019,Prostate,60-74,Male,6418073,63634,39.09,,117,33,63,1.823,0.514,454252,2225
Himachal Pradesh,2021,Leukemia,15-29,Male,6057006,19467,42.95,154.4,91,44,,1.502,0.726,388152,4858
Rajasthan,2010,Oral,45-59,Female,7032100,,16.41,62.8,104,42,32,1.479,0.597,141553,1641
Jharkhand,2012,Leukemia,30-44,Male,3374833,97409,44.64,53.1,48,18,24,1.422,0.533,77768,2800
Andhra Pradesh,2022,Ovarian,15-29,Female,4030490,22728,36.79,119.4,69,26,30,1.712,0.645,477833,4786
Assam,2014,Stomach,0-14,Female,557112,61780,12.16,169.3,11,,4,,0.718,468502,4528
Telangana,2014,Stomach,15-29,Female,2646876,173051,7.15,128.2,52,19,30,1.965,,154707,2480
Uttar Pradesh,2017,Leukemia,30-44,Male,7480317,83042,28.42,170.7,128,40,38,1.711,0.535,237407,4353
Bihar,2010,Colorectal,75+,Female,1420222,126001,30.7,231.3,23,11,9,,0.775,217690,1434
Telangana,2020,Ovarian,45-59,Female,2596526,9187,6.24,132.7,49,18,29,1.887,0.693,258849,
Assam,2012,Ovarian,45-59,Male,5374684,13368,34.24,,91,44,48,1.693,0.819,,1604
Assam,2021,Prostate,75+,Male,7258158,142438,14.1,208.9,110,49,55,1.516,0.675,221523,1003
Himachal Pradesh,2024,Ovarian,75+,Male,806013,85168,20.02,124.3,17,9,7,2.109,1.117,42902,4285
Odisha,2025,Prostate,0-14,Female,6033358,89737,23.61,31.3,99,59,48,1.641,0.978,,4168
Jharkhand,2025,Cervical,45-59,Female,6103860,,13.48,107.8,90,34,41,1.474,0.557,395361,2425
Uttar Pradesh,2023,Ovarian,30-44,Female,3768449,124267,36.53,209.5,76,16,41,2.017,0.425,424742,3644
Madhya Pradesh,2022,Leukemia,30-44,Female,4133821,16238,,106.7,75,32,39,1.814,0.774,148505,2300
Delhi,2015,Breast,60-74,Male,2410102,34178,24.35,26.3,46,25,25,1.909,1.037,348399,672
Rajasthan,2010,Prostate,30-44,Female,852223,72668,8.4,27.6,11,5,6,,0.587,104810,2450
Rajasthan,2016,Lung,30-44,Male,4563473,110205,37.19,123.4,71,17,34,1.556,0.373,,2245
Odisha,2013,Colorectal,45-59,Female,6456937,131328,13.82,245.3,118,36,,1.827,0.558,398171,3568
Kerala,2010,Prostate,15-29,Male,745369,152566,40.16,284.6,18,10,11,2.415,1.342,280108,
Himachal Pradesh,2011,Breast,60-74,Male,1759877,154182,23.88,185.1,33,11,21,1.875,0.625,153431,1034
Madhya Pradesh,2025,Cervical,45-59,Male,928909,40620,32.3,172,20,4,9,2.153,0.431,95906,2158
Jharkhand,2021,Stomach,30-44,Male,2860139,134658,37.74,219.8,39,14,22,1.364,0.489,,443
Uttar Pradesh,2013,Prostate,45-59,Male,1420015,22116,27.89,274.2,20,11,11,1.408,0.775,340871,2687
Madhya Pradesh,2014,Liver,60-74,Female,3815206,78542,26.48,280.8,54,23,35,1.415,0.603,76190,2793
Andhra Pradesh,2016,Prostate,75+,Female,912874,,5.19,,16,9,6,1.753,0.986,,2000
Odisha,2019,Liver,0-14,Female,5685598,164028,37.28,269.6,88,54,50,1.548,,272760,4941
Assam,2012,Lung,60-74,Male,4510891,189495,37.38,145.4,70,,39,,0.776,285825,652
Gujarat,2014,Oral,45-59,Female,581617,114131,7.36,167.9,8,4,4,1.375,0.688,435575,3026
Uttar Pradesh,2015,Ovarian,30-44,Male,3058445,2258,28.34,89.3,57,16,34,1.864,0.523,231868,1745
Chhattisgarh,2011,Ovarian,15-29,Male,1671296,,19.69,270.9,34,7,22,2.034,0.419,437361,
Karnataka,2021,Liver,30-44,Male,3685267,60960,21.48,296,65,20,37,1.764,0.543,180367,3184
West Bengal,2014,Prostate,30-44,Female,6404817,132508,22.17,75.2,95,30,46,1.483,0.468,,
Himachal Pradesh,2024,Ovarian,30-44,Male,3146227,5392,39.76,241.2,54,28,,1.716,0.89,244336,4646
West Bengal,2016,Liver,15-29,Male,3604505,117352,36.81,135.3,59,34,25,1.637,0.943,237971,4246
Madhya Pradesh,2025,Stomach,15-29,Female,3811982,79687,,153.7,52,15,29,1.364,0.393,125549,
Andhra Pradesh,2022,Colorectal,60-74,Female,3638410,5620,23.33,61.7,59,19,36,1.622,0.522,196035,1518
Odisha,2018,Stomach,30-44,Female,6483370,71708,27.03,,99,20,,1.527,0.308,273086,4466
Haryana,2024,Breast,45-59,Female,7271275,173794,29.8,151.8,107,23,55,1.472,0.316,393012,3199
Gujarat,2022,Breast,45-59,Female,4870215,156963,29.35,,91,25,43,1.869,0.513,82424,4994
Tamil Nadu,2017,Oral,15-29,Female,7109237,,21.83,44.8,123,36,84,1.73,0.506,476373,
Bihar,2012,Liver,45-59,Female,2501836,17060,11.99,78.9,33,,18,1.319,0.36,,1586
Himachal Pradesh,2014,Colorectal,0-14,Female,2807473,58306,39.13,109.8,38,11,14,1.354,0.392,142603,4985
Madhya Pradesh,2015,Colorectal,0-14,Male,5431701,85101,,141.4,104,48,52,1.915,0.884,370904,2483
Karnataka,2012,Breast,60-74,Female,5502775,147997,16.2,242.3,93,,58,1.69,1.018,486278,1988
Andhra Pradesh,2015,Ovarian,75+,Female,2300682,129368,5.59,175.6,36,16,18,1.565,0.695,94343,3781
Jharkhand,2016,Cervical,75+,Female,1268125,,12.37,159.3,22,,14,1.735,1.025,329316,4809
Madhya Pradesh,2021,Cervical,15-29,Female,7253046,1070,,280.8,137,59,59,1.889,0.813,251721,3332
Tamil Nadu,2013,Breast,60-74,Female,526839,,,26.7,13,6,3,2.468,1.139,375408,2893
West Bengal,2023,Leukemia,30-44,Male,2056715,61193,13.26,181.7,38,,,,1.118,213386,2854
Odisha,2021,Leukemia,75+,Male,3298814,81924,15.4,250.7,53,31,17,1.607,0.94,232270,734
Gujarat,2022,Prostate,15-29,Male,3044578,179549,40.36,152.6,55,16,,1.806,0.526,312593,2663
Kerala,2021,Breast,15-29,Female,7124471,13801,32.36,130.6,118,61,79,1.656,0.856,74528,291
Karnataka,2021,Lung,75+,Male,1513790,182592,,228.9,20,11,8,1.321,0.727,201046,2766
Assam,2018,Cervical,75+,Female,1484396,147135,5.85,197.3,18,9,12,1.213,0.606,30592,781
Maharashtra,2022,Stomach,30-44,Female,3566739,86739,32.73,259.5,60,34,19,1.682,0.953,,377
Jharkhand,2011,Prostate,15-29,Male,2945263,182848,11.98,209.7,41,25,23,1.392,0.849,79453,4447
Punjab,2011,Colorectal,60-74,Male,4343773,149557,16.26,36.9,74,40,28,1.704,0.921,58333,
Rajasthan,2020,Liver,60-74,Female,2381168,,35.89,227,39,8,19,1.638,0.336,122522,2658
Karnataka,2020,Liver,0-14,Male,1614013,184633,11.8,260.4,16,4,6,0.991,0.248,,659
Himachal Pradesh,2025,Colorectal,15-29,Female,3500129,93573,36.17,254.2,54,20,30,1.543,0.571,94256,3162
Kerala,2020,Liver,75+,Male,5350146,1742,,187.5,96,51,53,1.794,0.953,340884,
Telangana,2025,Breast,60-74,Female,2401352,23394,29.11,159.8,44,26,22,,1.083,278285,3068
Telangana,2010,Oral,60-74,Male,621130,124868,23.97,295.9,8,3,4,1.288,0.483,210686,3161
Assam,2010,Cervical,30-44,Male,851763,142398,33.35,268,15,4,7,1.761,0.47,105080,1587
Jharkhand,2014,Lung,45-59,Male,4310842,,,297.5,76,36,47,1.763,0.835,310785,4590
Odisha,2024,Cervical,15-29,Male,4762653,196914,26.59,,62,13,20,1.302,0.273,175750,3573
Tamil Nadu,2014,Cervical,0-14,Male,6477160,181497,31.22,153.5,89,38,42,1.374,0.587,21280,4869
Haryana,2016,Breast,0-14,Female,7048189,,10.31,126.8,107,42,44,1.518,0.596,225207,1805
Himachal Pradesh,2022,Breast,15-29,Female,989919,173621,20.77,92,15,7,7,1.515,0.707,47123,1485
Gujarat,2013,Leukemia,60-74,Female,2487577,156549,39.55,,41,9,25,1.648,0.362,498463,321
Telangana,2019,Leukemia,45-59,Female,6125477,19686,39.69,32.1,104,25,31,1.698,0.408,301927,4369
Haryana,2017,Oral,45-59,Female,6394090,38433,16.75,92.2,93,,34,,0.61,,4572
Bihar,2025,Leukemia,45-59,Female,3358884,15878,18.32,20.3,57,25,28,1.697,,230628,
Karnataka,2015,Liver,30-44,Female,6601345,31824,13.05,90.3,112,61,56,1.697,0.924,92100,4043
Bihar,2014,Colorectal,75+,Male,4881272,121970,,,82,17,36,1.68,0.348,162496,2000
Odisha,2012,Liver,30-44,Female,3180549,12190,10.95,112.7,53,11,21,,0.346,235786,769
Delhi,2019,Cervical,15-29,Male,3326369,190541,43.28,155.8,53,19,18,1.593,,347983,4933
Jharkhand,2013,Prostate,60-74,Male,6154619,138456,28.27,137.1,96,41,60,1.56,0.666,,471
Jharkhand,2019,Stomach,60-74,Male,5517860,62325,44.9,122.9,78,20,39,1.414,0.362,,4441
Chhattisgarh,2024,Cervical,15-29,Male,6049237,,40.59,187.5,91,42,29,1.504,0.694,131456,3968
Kerala,2018,Colorectal,45-59,Female,3408833,14097,34.65,21.3,75,15,26,2.2,0.44,129560,2311
Uttar Pradesh,2015,Prostate,0-14,Male,1450075,173369,6.59,168.6,30,17,15,2.069,1.172,433823,3789
Jharkhand,2012,Colorectal,15-29,Female,5213713,21986,33.51,23,81,21,40,1.554,0.403,,3492
Telangana,2010,Prostate,60-74,Male,1582984,68632,31.93,34.8,23,13,14,1.453,0.821,205361,4421
Punjab,2016,Liver,45-59,Male,4320304,23059,38.55,199.5,71,32,37,1.643,0.741,73102,1657
Bihar,2011,Prostate,60-74,Female,6444439,,34.36,93,109,33,64,1.691,0.512,300015,671
Haryana,2018,Colorectal,45-59,Male,5128524,156141,34.61,,69,23,,1.345,0.448,242000,4168
Uttar Pradesh,2023,Breast,75+,Male,1810823,80637,13.83,252.8,20,8,10,1.104,0.442,447741,997
Jharkhand,2013,Oral,0-14,Female,7382353,63498,24.32,174.1,111,68,,1.504,0.921,29273,3373
